Participant,Training,Condition,Random #,ConditionID,SpringIndex,Spring #1,Spring #2,Switch X&Y?,Final X,Final Y,Final X Value,Final Y Value
9,,Hapkit Only,0.614547061,0,9,Q,W,Yes,W,Q,75,55
9,,Hapkit Only,0.623247399,0,10,U,S,No,S,U,35,15
9,,Hapkit Only,0.737632646,0,11,Q,W,No,W,Q,75,55
9,,Hapkit Only,0.77248785,0,12,Q,W,Yes,Q,W,55,75
9,,Hapkit Only,0.794307315,0,13,U,S,Yes,U,S,15,35
9,,Hapkit Only,0.866858531,0,14,U,S,No,S,U,35,15
9,,Hapkit Only,0.928614539,0,15,Q,W,No,W,Q,75,55
10,,COUNTERBALANCE,0.330029628,1,,,,No,,,,
10,*,Hapkit + Graphics,0.258965386,1,0,U,S,Yes,S,U,35,15
10,,Hapkit + Graphics,0.010121305,1,1,U,S,No,U,S,15,35
10,,Hapkit + Graphics,0.279748306,1,2,Q,W,Yes,W,Q,75,55
10,,Hapkit + Graphics,0.363975759,1,3,S,Q,No,S,Q,35,55
10,,Hapkit + Graphics,0.493351166,1,4,Q,W,No,Q,W,55,75
10,,Hapkit + Graphics,0.530969433,1,5,Q,W,Yes,Q,W,55,75
10,,Hapkit + Graphics,0.558259393,1,6,Q,W,Yes,Q,W,55,75
10,,Hapkit + Graphics,0.638698452,1,7,U,S,Yes,U,S,15,35
10,,Hapkit + Graphics,0.651150291,1,8,U,S,No,S,U,35,15
10,,Hapkit + Graphics,0.673520545,1,9,Q,W,No,W,Q,75,55
10,,Hapkit + Graphics,0.71524404,1,10,S,Q,Yes,Q,S,55,35
10,,Hapkit + Graphics,0.763476334,1,11,S,Q,No,Q,S,55,35
10,,Hapkit + Graphics,0.822928277,1,12,U,S,Yes,U,S,15,35
10,,Hapkit + Graphics,0.825658076,1,13,S,Q,No,S,Q,35,55
10,,Hapkit + Graphics,0.855015485,1,14,U,S,Yes,S,U,35,15
10,,Hapkit + Graphics,0.911784362,1,15,S,Q,No,S,Q,35,55
10,*,Hapkit Only,0.79776739,0,0,S,U,Yes,U,S,15,35
10,,Hapkit Only,0.091991395,0,1,U,S,No,S,U,35,15
10,,Hapkit Only,0.216843639,0,2,S,Q,No,Q,S,55,35
10,,Hapkit Only,0.226972381,0,3,Q,W,Yes,W,Q,75,55
10,,Hapkit Only,0.270557034,0,4,U,S,No,S,U,35,15
10,,Hapkit Only,0.316146085,0,5,Q,W,Yes,W,Q,75,55
10,,Hapkit Only,0.36424439,0,6,S,Q,No,Q,S,55,35
10,,Hapkit Only,0.389267252,0,7,U,S,No,U,S,15,35
10,,Hapkit Only,0.513576349,0,8,S,Q,Yes,Q,S,55,35
10,,Hapkit Only,0.521022364,0,9,Q,W,No,W,Q,75,55
10,,Hapkit Only,0.566716328,0,10,Q,W,Yes,Q,W,55,75
10,,Hapkit Only,0.661835998,0,11,Q,W,Yes,Q,W,55,75
10,,Hapkit Only,0.712141198,0,12,S,Q,Yes,Q,S,55,35
10,,Hapkit Only,0.887833187,0,13,U,S,No,S,U,35,15
10,,Hapkit Only,0.933838368,0,14,U,S,No,S,U,35,15
10,,Hapkit Only,0.943350059,0,15,S,Q,Yes,Q,S,55,35
11,,COUNTERBALANCE,0.934750763,1,,,,No,,,,
11,*,Hapkit + Graphics,0.602426644,1,0,S,U,Yes,U,S,15,35
11,,Hapkit + Graphics,0.024438803,1,1,U,S,No,S,U,35,15
11,,Hapkit + Graphics,0.296333813,1,2,S,Q,Yes,S,Q,35,55
11,,Hapkit + Graphics,0.31212486,1,3,U,S,No,U,S,15,35
11,,Hapkit + Graphics,0.386226486,1,4,U,S,Yes,U,S,15,35
11,,Hapkit + Graphics,0.406319692,1,5,Q,W,Yes,Q,W,55,75
11,,Hapkit + Graphics,0.409477825,1,6,S,Q,Yes,Q,S,55,35
11,,Hapkit + Graphics,0.500374772,1,7,Q,W,Yes,Q,W,55,75
11,,Hapkit + Graphics,0.566508055,1,8,S,Q,Yes,S,Q,35,55
11,,Hapkit + Graphics,0.642279095,1,9,U,S,No,U,S,15,35
11,,Hapkit + Graphics,0.64994109,1,10,U,S,Yes,S,U,35,15
11,,Hapkit + Graphics,0.691587383,1,11,S,Q,No,S,Q,35,55
11,,Hapkit + Graphics,0.716797197,1,12,S,Q,Yes,Q,S,55,35
11,,Hapkit + Graphics,0.77517354,1,13,Q,W,No,W,Q,75,55
11,,Hapkit + Graphics,0.77541672,1,14,Q,W,Yes,Q,W,55,75
11,,Hapkit + Graphics,0.783408791,1,15,Q,W,No,W,Q,75,55
11,*,Hapkit Only,0.870768831,0,0,Q,W,Yes,W,Q,75,55
11,,Hapkit Only,0.190258891,0,1,U,S,No,U,S,15,35
11,,Hapkit Only,0.231022947,0,2,Q,W,No,W,Q,75,55
11,,Hapkit Only,0.300748078,0,3,Q,W,Yes,W,Q,75,55
11,,Hapkit Only,0.352955737,0,4,Q,W,No,Q,W,55,75
11,,Hapkit Only,0.358822849,0,5,S,Q,Yes,Q,S,55,35
11,,Hapkit Only,0.419552903,0,6,U,S,Yes,S,U,35,15
